round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,0.7387405387218324,0.7493495229835212,4,0
2,0.5186997410819382,0.8430182133564614,4,0
3,0.39876164375069273,0.8816386919034743,4,0
4,0.33463980283738887,0.9006683332483036,4,0
5,0.29469146792785006,0.9132187133309525,4,0
6,0.26623591666324764,0.9211774909443395,4,0
7,0.24462510098864135,0.9293403397785828,4,0
8,0.22717077979896574,0.9348502627416968,4,0
9,0.2127318220160505,0.9393908474057446,4,0
10,0.20013369440813464,0.9444416101219325,4,0
11,0.18899647376013193,0.948267945512984,4,0
12,0.17903542317232243,0.9522983521248916,4,0
13,0.17017117180688535,0.955869598489873,4,0
14,0.16211387554409673,0.9588796489975001,4,0
15,0.15477425297148725,0.961175450232131,4,0
16,0.1478700155778008,0.9641855007397582,4,0
17,0.1413378325668192,0.9658690883118208,4,0
18,0.1354149719191342,0.9673486046630274,4,0
19,0.12955898889240444,0.9692362634559462,4,0
20,0.12423092097102528,0.9708688332227947,4,0
