round,exp_loss,exp_acc
1,0.9132387655169049,0.7059869590989923
2,0.8978250973122414,0.6933412369097016
3,0.7326024890393519,0.8033985378383719
4,0.571744818834419,0.8571428571428571
5,0.4819697411699602,0.8828294803398538
6,0.4216646222970722,0.8984390436672595
7,0.37580421769826267,0.9116775340841731
8,0.3424013622062429,0.918790752815649
9,0.3157414143805305,0.9259039715471251
10,0.29475488728201216,0.9310412961865244
11,0.2776178455083673,0.9361786208259237
12,0.2615419743390122,0.9415135348745307
13,0.24773251307391056,0.9468484489231377
14,0.23486376015553712,0.949614700652045
15,0.22317202394540026,0.95257854179016
16,0.21253939543263145,0.9557399723374828
17,0.2028777060761232,0.9569255087927288
18,0.19438320800376443,0.9602845287492591
19,0.18652647818631746,0.9626556016597511
20,0.17884053339354725,0.9642363169334124
