round,loss_agg,global_loss,global_acc,global_precision_macro,global_f1_macro,unknown_rate_global,exp_loss,exp_acc,private_loss,private_acc,private_to_global_rate,n_results,n_failures
1,0.9217110716884358,0.9217110716884356,0.6122148576870252,0.5908313340752839,0.5661744384987016,0.6686855566461869,1.2407436287366473,0.3896166909267346,,,,4,0
2,0.4645766002605192,0.4645766002605191,0.8337326330345032,0.7985018274510376,0.7981654872559336,0.05596369839282164,0.6933642536155926,0.7496360989810772,,,,4,0
3,0.39079696682860626,0.39079696682860626,0.8496243474073024,0.8251655568942394,0.8312337523870681,0.049013527215533224,0.6006954205753385,0.772440562833576,,,,4,0
4,0.35563345357041504,0.35563345357041504,0.8554706600222357,0.8365211594009955,0.8439747768183938,0.0434497435633292,0.5524265573414402,0.7857027333009866,,,,4,0
5,0.3309235197496302,0.3309235197496302,0.8667216141951264,0.8488070126722703,0.8584075756294395,0.04250015401943449,0.5167341473844181,0.8021995794921559,,,,4,0
6,0.30793810909794783,0.30793810909794783,0.8788765663514267,0.861541325575874,0.8711243634458953,0.041590920868070605,0.48511635572725603,0.8157852175319424,,,,4,0
7,0.285527776555835,0.28552777655583506,0.8897070899268924,0.8735093727597452,0.8820016801549369,0.03794475821592352,0.456072049694729,0.8321203299369239,,,,4,0
8,0.265974057969058,0.265974057969058,0.9000501309004222,0.8851713029421677,0.8916134196509917,0.034339210314776165,0.43166770000440313,0.8457059679767104,,,,4,0
9,0.24798036688936523,0.24798036688936526,0.9091233938804133,0.8941257163106304,0.8999000825382303,0.031286122938074305,0.40983318103067357,0.8529839883551674,,,,4,0
10,0.23547835961611327,0.23547835961611327,0.9178628089697125,0.9042928455519752,0.9093592799710349,0.03133574462578406,0.39505152155172374,0.8599385411612486,,,,4,0
11,0.22328274257420572,0.22328274257420572,0.9212974089865913,0.9074893964995389,0.9124900305213315,0.03073170547540437,0.38132497513301933,0.8655992236778263,,,,4,0
12,0.2129306972854884,0.21293069728548844,0.9240889356450673,0.9111291889326495,0.9163752678468366,0.03113900765179899,0.36834058734752056,0.8701277696910885,,,,4,0
13,0.20322094074633199,0.20322094074633199,0.9272320002090078,0.9140508762649436,0.9195265667149954,0.032547270390151144,0.3565587003423272,0.8740093805595989,,,,4,0
14,0.19480819504990846,0.1948081950499085,0.9310533480340183,0.9165844799128242,0.9234618025749245,0.03261034391103724,0.3457749664720817,0.8785379265728611,,,,4,0
15,0.18649393414634644,0.18649393414634644,0.9343225596397312,0.9213709652766219,0.9282445350373821,0.033674377993880865,0.3356531598527191,0.8827430050137474,,,,4,0
16,0.17910047657058567,0.17910047657058567,0.9370863923603662,0.9249306643547697,0.9313249282190172,0.03463668074306311,0.3259685140215469,0.885977680737506,,,,4,0
17,0.17245971292598164,0.17245971292598164,0.9407213839762083,0.9290346714104425,0.9350798063334171,0.03362533941628879,0.31796333165995966,0.8906679605369562,,,,4,0
18,0.1665429906417858,0.1665429906417858,0.9441027076803994,0.9344954432652612,0.9395158499734939,0.03452456864458493,0.3106391459077442,0.8950347727640304,,,,4,0
19,0.16093000679119956,0.16093000679119956,0.9453290591060495,0.9357803292350532,0.9409383328041913,0.034583987540492876,0.30401312392896374,0.8976225133430373,,,,4,0
20,0.15615759834409143,0.15615759834409143,0.9470221316040022,0.9382853597838694,0.9427504363585443,0.034183994614054566,0.29831134859092484,0.8992398512049167,,,,4,0
