round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,1.0106182531044614,0.6971338480818208,4,0
2,0.7064296157848634,0.7844120143913975,4,0
3,0.5918484720594116,0.8158628774709948,4,0
4,0.531974071321373,0.8349840320168169,4,0
5,0.487663079078313,0.8515988195820027,4,0
6,0.45035488424446873,0.8663540445486518,4,0
7,0.41816100880624735,0.8773497190443466,4,0
8,0.39072098451512816,0.8876177386101791,4,0
9,0.3671150049077605,0.8962687472207624,4,0
10,0.3468658434211372,0.9034644459716215,4,0
11,0.32942519276760746,0.9086388810284189,4,0
12,0.31415927008486516,0.9132877875247605,4,0
13,0.30054947573946267,0.9174515907345272,4,0
14,0.28828270447751386,0.9213324170271253,4,0
15,0.2772068542019409,0.9244047378420989,4,0
16,0.26705113350733645,0.9277196103003598,4,0
17,0.2575812387992974,0.9311153333063832,4,0
18,0.2487289144406396,0.9338238266564256,4,0
19,0.24027886963721432,0.9368557221975179,4,0
20,0.23227495247941735,0.9390791122609856,4,0
