round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,0.9633655311334883,0.682621174758459,4,0
2,0.718643131120013,0.7714355014755225,4,0
3,0.5882135463010553,0.8145288434329142,4,0
4,0.5206711771944844,0.834296802360836,4,0
5,0.47394505550798516,0.8513562679387153,4,0
6,0.4360149176376795,0.865868941262077,4,0
7,0.40353983012685957,0.8787241783563083,4,0
8,0.3757262639311323,0.8887496462788536,4,0
9,0.3528722916954249,0.8975219307110806,4,0
10,0.33332931366382973,0.9037069976149088,4,0
11,0.31652939325393475,0.9092048348627562,4,0
12,0.30198011739095837,0.9132473622508792,4,0
13,0.2890950671919755,0.9175728665561709,4,0
14,0.277543077508521,0.9213728423010066,4,0
15,0.2670409936251104,0.9250111169503173,4,0
16,0.25732428914785155,0.9281642883130533,4,0
17,0.24856618695346896,0.9312770344019081,4,0
18,0.24039844990857287,0.9337025508347819,4,0
19,0.23283958611707561,0.9366535958281117,4,0
20,0.22591423808470565,0.9392812386303917,4,0
