round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,0.7265697532034998,0.7659303096780776,4,0
2,0.5044331269299861,0.8533238100096934,4,0
3,0.38116147770050757,0.8916381817254222,4,0
4,0.32181902193979345,0.9084230396408347,4,0
5,0.2849599443777843,0.9199530636192031,4,0
6,0.25872800643681493,0.9277077700117341,4,0
7,0.23806813122108514,0.9350543339625529,4,0
8,0.2215335082007509,0.9401050966787409,4,0
9,0.20764791471946847,0.9452068772001428,4,0
10,0.19592382884882042,0.9494413550329065,4,0
11,0.1858526866855101,0.9524003877353197,4,0
12,0.1769129448534153,0.9546961889699506,4,0
13,0.1687355227625879,0.9574001326462935,4,0
14,0.16125745407472575,0.9599000051017805,4,0
15,0.1542941685922778,0.9632161624406917,4,0
16,0.1477526358757954,0.9652058568440386,4,0
17,0.14137568620607674,0.9671955512473853,4,0
18,0.13519187960130366,0.9690321922350901,4,0
19,0.12929853098863733,0.9706647620019386,4,0
20,0.12379782324768313,0.9721952961583593,4,0
21,0.11844992564643218,0.974031937146064,4,0
22,0.11339835007735573,0.9754604356920565,4,0
23,0.10853977674096374,0.9771440232641192,4,0
24,0.10392109682165517,0.9784704861996837,4,0
25,0.09933559016905344,0.9800010203561043,4,0
26,0.09498963733168311,0.9813274832916687,4,0
27,0.0907912617725102,0.9821437681750931,4,0
28,0.08634238211139386,0.9834702311106576,4,0
29,0.08232645700480846,0.9847456762410081,4,0
30,0.07851453655818978,0.9858680679557166,4,0
31,0.07492463008039892,0.987092495280853,4,0
32,0.07174836247557881,0.9879087801642773,4,0
33,0.06839840272428678,0.9889801540737717,4,0
34,0.06566315189745259,0.9898984745676241,4,0
35,0.06270869926026222,0.9907147594510484,4,0
36,0.05972389276595335,0.9916330799449008,4,0
37,0.05674475526026072,0.992296311412683,4,0
38,0.05425100439392468,0.9926024182439671,4,0
39,0.05224465348106719,0.9931125962961074,4,0
40,0.04997466892986793,0.9937248099586756,4,0
41,0.04767577747318928,0.9943880414264579,4,0
42,0.04688480215151984,0.9944390592316719,4,0
43,0.04661349589733978,0.994592112647314,4,0
44,0.04448881814604398,0.994898219478598,4,0
45,0.04337372152270856,0.9955614509463803,4,0
46,0.043912881655012934,0.9952043263098822,4,0
47,0.03726455634594318,0.9964287536350186,4,0
48,0.041256463729737625,0.9959695933880924,4,0
49,0.04272897313909377,0.9957655221672363,4,0
50,0.03935976269356114,0.9962246824141625,4,0
51,0.03942996926735795,0.9958165399724503,4,0
52,0.0457995552624744,0.9951533085046681,4,0
53,0.04015229937762196,0.9957655221672363,4,0
54,0.03545427079495955,0.9962757002193766,4,0
55,0.03280182733534704,0.9968879138819448,4,0
56,0.03309911696410311,0.997449109739299,4,0
57,0.034857408440851514,0.9970409672975868,4,0
58,0.03344278863874128,0.9967348604663028,4,0
59,0.030465693412426362,0.9980103055966533,4,0
60,0.029989900075419094,0.997449109739299,4,0
