round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,0.9437014498730679,0.6914338844645672,4,0
2,0.7043662709525655,0.7774588672838258,4,0
3,0.5765390555304034,0.8174394631523628,4,0
4,0.5100225307577163,0.839390386869871,4,0
5,0.46446228662918604,0.8553179447790759,4,0
6,0.4281723048064647,0.8678093544083761,4,0
7,0.3977550140220934,0.8783199256174961,4,0
8,0.37186127193879015,0.8874964627885354,4,0
9,0.3494650376486635,0.8957027933864252,4,0
10,0.33037174361062066,0.9027367910417593,4,0
11,0.31414239177053477,0.9090431337672312,4,0
12,0.30004510720680116,0.9133282127986417,4,0
13,0.28743693339338916,0.9183409467599143,4,0
14,0.27606856172062016,0.9227877268868496,4,0
15,0.2658051745952147,0.9261025993451105,4,0
16,0.2566182153546353,0.9296195981727776,4,0
17,0.2479414813349712,0.9326919189877512,4,0
18,0.23978639751213127,0.935481262885556,4,0
19,0.23230908001338327,0.9375429518534988,4,0
20,0.22509952150060855,0.9406556979423536,4,0
21,0.2183228103949907,0.9424344099931277,4,0
22,0.2120064295245988,0.9443748231394268,4,0
23,0.20618517999238922,0.9468811901200631,4,0
24,0.20039919072794285,0.9484173505275498,4,0
25,0.19501880605439242,0.9497918098395116,4,0
26,0.18964043608152242,0.9516917977119295,4,0
27,0.18454081181867632,0.9538343372276347,4,0
28,0.17966193191519794,0.9549662448963092,4,0
29,0.1749903708890634,0.9565428305776772,4,0
30,0.17069560407721177,0.9582002668068076,4,0
31,0.16628846258085267,0.9595343008448882,4,0
32,0.16213751749096061,0.9607874843352063,4,0
33,0.15807592776866147,0.9621619436471682,4,0
34,0.15397054062398824,0.9638193798762986,4,0
35,0.14977465935062587,0.9651534139143793,4,0
36,0.14580209809762987,0.9662853215830537,4,0
37,0.14196618534626082,0.9674172292517281,4,0
38,0.1381946927283706,0.969155516028621,4,0
39,0.13436770669303633,0.9712172049965638,4,0
40,0.1307864440559489,0.9721874115697133,4,0
41,0.12719528811946906,0.9731171928689817,4,0
42,0.12382478508382208,0.9742895258115374,4,0
43,0.12036479247122757,0.9753405829324494,4,0
44,0.11715924410431747,0.9761895136839552,4,0
45,0.11412101051014799,0.9771192949832235,4,0
46,0.1108764580961058,0.9784937542951854,4,0
47,0.10774605731468265,0.9794639608683349,4,0
48,0.1045446514152781,0.980353316893722,4,0
49,0.10112650410445781,0.981242672919109,4,0
50,0.09829466038630483,0.9821724542183773,4,0
51,0.0950508799015971,0.9835064882564579,4,0
52,0.0921777443109894,0.9840320168169139,4,0
53,0.08903689351146382,0.9850022233900635,4,0
54,0.08614985677549367,0.985608602498282,4,0
55,0.08321689997722928,0.9865788090714315,4,0
56,0.08106883030581909,0.9874277398229373,4,0
57,0.07879200133141095,0.9878319925617496,4,0
58,0.07578400742487292,0.989125601325949,4,0
59,0.07656113908946871,0.9888426244087803,4,0
60,0.07946378420284657,0.9881958200266807,4,0
