round,loss_agg,global_loss,global_acc,global_precision_macro,global_f1_macro,unknown_rate_global,exp_loss,exp_acc,private_loss,private_acc,private_to_global_rate,n_results,n_failures
1,1.1485492934448716,1.1485492934448716,0.2208614002857726,0.0736204667619242,0.11761207686387055,,1.1485492935908719,0.2208614002857726,,,,4,0
2,0.4584257774242067,0.4584257774242067,0.8375178607879159,0.7974369224139986,0.8077853923778505,,0.4584257774363734,0.8375178607879159,,,,4,0
3,0.3820182574625087,0.3820182574625087,0.8538477240253113,0.8286184250817347,0.8383192856633987,,0.38201825764805086,0.8538477240253113,,,,4,0
4,0.3392101355683295,0.3392101355683295,0.8699734639722392,0.8495018145582798,0.8588822161631257,,0.3392101354649126,0.8699734639722392,,,,4,0
5,0.30657027828179956,0.30657027828179956,0.8822208614002858,0.8612828891739559,0.872165107062686,,0.30657027827723704,0.8822208614002858,,,,4,0
6,0.2771753643600034,0.2771753643600034,0.8969177383139416,0.8772389913797232,0.8879772656465311,,0.2771753643554409,0.8969177383139416,,,,4,0
7,0.25602371114982736,0.25602371114982736,0.9081445192896509,0.8884587009112883,0.8994974843764207,,0.2560237111445044,0.9081445192896509,,,,4,0
8,0.24021547553392789,0.24021547553392789,0.914676464584609,0.8954933678275427,0.9074495008436657,,0.24021547553544872,0.914676464584609,,,,4,0
9,0.22792826113858547,0.22792826113858547,0.9195754235558277,0.9007726622253281,0.9121282586825987,,0.22792826113706463,0.9195754235558277,,,,4,0
10,0.21640727762227935,0.21640727762227935,0.9261073688507859,0.9075803239298431,0.9181920270299304,,0.21640727762265957,0.9261073688507859,,,,4,0
11,0.20783940443069893,0.20783940443069893,0.9287609716268627,0.9110022298669885,0.9209641235504465,,0.20783940433298514,0.9287609716268627,,,,4,0
12,0.20088093790333475,0.20088093790333475,0.9318228209838743,0.9135634489423804,0.9248384147448617,,0.20088093780448033,0.9318228209838743,,,,4,0
13,0.1954750255568462,0.1954750255568462,0.934476423759951,0.9185855109343652,0.9287137149565606,,0.19547502555608579,0.934476423759951,,,,4,0
14,0.1889057389800221,0.1889057389800221,0.9365176566646254,0.921086273725665,0.9308708766438296,,0.18890573888230833,0.9365176566646254,,,,4,0
15,0.1827736228132618,0.1827736228132618,0.9377423964074301,0.9219983024052746,0.9321280668451903,,0.1827736226668812,0.9377423964074301,,,,4,0
16,0.17848428794104704,0.17848428794104704,0.9397836293121045,0.923855636358268,0.9339748456568409,,0.1784842878933308,0.9397836293121045,,,,4,0
17,0.17387391912752231,0.17387391912752231,0.9422331087977138,0.9261705853121751,0.9362406984061853,,0.1738739191763792,0.9422331087977138,,,,4,0
18,0.1674580540044937,0.1674580540044937,0.9436619718309859,0.9275929037622112,0.9375097118288943,,0.16745805390754034,0.9436619718309859,,,,4,0
19,0.1627601015705263,0.1627601015705263,0.9442743417023882,0.9287009878194235,0.9382553047132457,,0.16276010147338285,0.9442743417023882,,,,4,0
20,0.15838201184021158,0.15838201184021158,0.9461114513165952,0.93124344478278,0.9404754692959367,,0.1583820118407819,0.9461114513165952,,,,4,0
