round,exp_loss,exp_acc
1,0.9135800947013037,0.7056047197640118
2,0.664404031508323,0.8082595870206489
3,0.49962681778061,0.8751229105211407
4,0.4234628081966408,0.8912487708947886
5,0.3819311522745922,0.9022615535889872
6,0.35376658921396487,0.9105211406096362
7,0.3319970757706913,0.9177974434611603
8,0.31480452352686034,0.9205506391347099
9,0.30039433343455035,0.9246804326450344
10,0.2878477356807789,0.9292035398230089
11,0.2771752758305099,0.9325467059980335
12,0.26637506769235625,0.9376597836774828
13,0.2565986507996228,0.9402163225172074
14,0.2469409482595726,0.9429695181907571
15,0.23772268288255088,0.9451327433628318
16,0.2281919150167276,0.9492625368731563
17,0.21905291241354646,0.9502458210422812
18,0.21029900468321794,0.9535889872173058
19,0.2025262030645575,0.9569321533923304
20,0.19474284437026246,0.9588987217305801
