round,loss_agg,global_loss,global_acc,global_precision_macro,global_f1_macro,unknown_rate_global,exp_loss,exp_acc,private_loss,private_acc,private_to_global_rate,n_results,n_failures
1,0.9013416072300139,0.9013416072300139,0.5881986041225461,0.6588936500883982,0.5778818306159196,,1.3815937743637232,0.5152542372881356,,,,4,0
2,0.42782473847610675,0.42782473847610675,0.8507537632764494,0.8272647880183615,0.8267087771890835,,0.7558909670107782,0.7533494753833737,,,,4,0
3,0.36469098537141614,0.36469098537141614,0.8588538266666961,0.8391642114098917,0.844002621094404,,0.6719188977504951,0.7722356739305892,,,,4,0
4,0.324997628088241,0.324997628088241,0.8715575051183213,0.8507090528176198,0.8578008225250865,,0.6253255770464305,0.7877320419693301,,,,4,0
5,0.29745517444986286,0.2974551744498628,0.8832501197846179,0.8655658879978083,0.8722004593259948,,0.5901441613568521,0.801775625504439,,,,4,0
6,0.2738612855452889,0.2738612855452889,0.8902767620116222,0.8717945793390013,0.8777685153690312,,0.5571145974457432,0.812590799031477,,,,4,0
7,0.25489358117871713,0.25489358117871713,0.9012751391090577,0.8830436572826523,0.8900363088721238,,0.5314687982436098,0.8217917675544795,,,,4,0
8,0.23912233715967196,0.23912233715967196,0.906781092009798,0.8877394111733095,0.895071498600903,,0.5114520053428097,0.8292171105730428,,,,4,0
9,0.22425817801943457,0.22425817801943457,0.9137237225621541,0.8963380885586496,0.902678484282779,,0.49163111395475434,0.8379338175948345,,,,4,0
10,0.2108065660140622,0.2108065660140622,0.9204625506515532,0.9032314246544233,0.9100232356499461,,0.4745838892652899,0.8450363196125908,,,,4,0
11,0.20045585983747102,0.20045585983747102,0.9261149579171403,0.9100146352272787,0.9159151662294445,,0.4608074688082794,0.8511702986279257,,,,4,0
12,0.1904283569733775,0.1904283569733775,0.9301381763368114,0.9170391060606226,0.9219776730731183,,0.4479884076066754,0.8552058111380145,,,,4,0
13,0.18238786331925505,0.18238786331925505,0.9322610072793538,0.9195276882099845,0.9242639109215152,,0.4349891621431545,0.8590799031476998,,,,4,0
14,0.17454909241091499,0.17454909241091499,0.9346986566486222,0.9208054240895522,0.9267772711521011,,0.423843318216211,0.8623083131557708,,,,4,0
15,0.1672195887794321,0.16721958877943213,0.9386459653779035,0.9253100421407126,0.9310818238346319,,0.4127077443382001,0.8686037126715093,,,,4,0
16,0.1607577872564876,0.16075778725648757,0.9399792381019557,0.9272972259376554,0.9336373015357889,,0.40215425808452476,0.8711864406779661,,,,4,0
17,0.1544848284371274,0.1544848284371274,0.9427597891996762,0.9304183785906938,0.9371622826340128,,0.39201450341755467,0.8745762711864407,,,,4,0
18,0.1477470208008993,0.1477470208008993,0.9471713958190231,0.9341907733298084,0.9407459896871492,,0.3805236037973167,0.8786117836965295,,,,4,0
19,0.14266016092378742,0.14266016092378742,0.9484846872256073,0.9354821383662054,0.9419588995232345,,0.3722293906957527,0.8795803066989508,,,,4,0
20,0.1363492184169484,0.1363492184169484,0.9518748321554577,0.939289408510477,0.9457088361565087,,0.3620552870267559,0.883454398708636,,,,4,0
