round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,1.1034316061777811,0.6942752249162868,4,0
2,0.9933294015427627,0.6674063016904023,4,0
3,0.9330673277745998,0.6998830031871546,4,0
4,0.8534887027527905,0.7339734538266026,4,0
5,0.7808245279133265,0.7627788760237221,4,0
6,0.7198569895799188,0.7855327389357324,4,0
7,0.6677401630816504,0.8042118852624359,4,0
8,0.622929844576791,0.8212772824464437,4,0
9,0.5834045091224389,0.8353975874450317,4,0
10,0.5484789463680856,0.8473796748295478,4,0
11,0.5182490926562799,0.8571832008714245,4,0
12,0.49195391475052985,0.8654940089563078,4,0
13,0.46859125694929626,0.872473473998467,4,0
14,0.44772967300200256,0.8784846895550087,4,0
15,0.4289972860016376,0.8843345301972808,4,0
16,0.411944275563124,0.8895792149110421,4,0
17,0.3964474553625345,0.8939363375963206,4,0
18,0.3816571148460267,0.8981320853673297,4,0
19,0.3685237627909145,0.9022471456812039,4,0
20,0.3558394779846197,0.9062815185379433,4,0
