round,loss_agg,global_loss,global_acc,global_precision_macro,global_f1_macro,unknown_rate_global,exp_loss,exp_acc,private_loss,private_acc,private_to_global_rate,n_results,n_failures
1,0.9437308832366663,0.9437308832366662,0.5660733862603236,0.6436367611077156,0.5525607332177825,0.6165302010826108,1.2563242011920783,0.3959644874899112,,,,4,0
2,0.4466463025941287,0.4466463025941287,0.8411534592170284,0.8053597559351785,0.8040995265760675,0.054024929762637564,0.6777750206099488,0.7527037933817595,,,,4,0
3,0.38331118592431074,0.38331118592431074,0.8499957630914773,0.8197950968267619,0.8265796328420177,0.04729952467589956,0.5994124719315329,0.7682001614205004,,,,4,0
4,0.3484083228304161,0.3484083228304161,0.8636615205169847,0.8401038780934319,0.8499574110702678,0.04768775405522153,0.5535619834241028,0.7870863599677159,,,,4,0
5,0.31719051407354754,0.31719051407354754,0.8732238520248874,0.8529252882552539,0.8618459249472159,0.04814436149890507,0.5143845937634977,0.8022598870056498,,,,4,0
6,0.2947682848282724,0.2947682848282724,0.8811224941843716,0.8614583406705784,0.8702426827149876,0.04631178172790825,0.4858777533401829,0.812590799031477,,,,4,0
7,0.27574860259104983,0.27574860259104983,0.8922393217551043,0.871824403484304,0.8809984257066296,0.0434587398698436,0.46224057932652657,0.8255044390637611,,,,4,0
8,0.257176949642668,0.257176949642668,0.9019074335206572,0.8821384867078628,0.8911505172445746,0.0409729464712041,0.4402208353797931,0.8364810330912026,,,,4,0
9,0.24365346092521994,0.24365346092521994,0.9096116361062772,0.8914510793682615,0.9003040828520279,0.041103864342264256,0.4243668795337027,0.8442292171105731,,,,4,0
10,0.22794858856728917,0.22794858856728917,0.9189294733377031,0.9015519267819467,0.9091100916907352,0.0405516363145679,0.4071281348286712,0.8514931396287329,,,,4,0
11,0.2159346852026931,0.2159346852026931,0.9233060530938482,0.9054761427829732,0.9126598345343546,0.04171646556656422,0.3939201618692837,0.8569814366424536,,,,4,0
12,0.20378371979653856,0.20378371979653853,0.9281033726483997,0.9122455964481279,0.9185552260110099,0.04278038862879104,0.38000080473495523,0.8632768361581921,,,,4,0
13,0.1937001522928068,0.1937001522928068,0.9301932639276583,0.9149511122092113,0.9205328574659043,0.046299934588013056,0.36818913797862207,0.8655367231638418,,,,4,0
14,0.1835324258969726,0.1835324258969726,0.9337223493026502,0.918560780519576,0.9240307268917483,0.04916886277388644,0.35605497849658674,0.8697336561743342,,,,4,0
15,0.1762778564038263,0.1762778564038263,0.9379624256475941,0.9229981963233728,0.9283832182197195,0.05047957603249984,0.34774765442384825,0.8731234866828087,,,,4,0
16,0.16794854001487683,0.16794854001487683,0.9408312744232907,0.9265097582838827,0.9319700553640952,0.05070394787747785,0.33749163915734676,0.8774818401937046,,,,4,0
17,0.16232379115801177,0.16232379115801177,0.9417188108495571,0.927878462768959,0.9331194152301309,0.05131411206783741,0.3307051606262832,0.878773204196933,,,,4,0
18,0.15826718703966627,0.15826718703966627,0.9437706678734438,0.9305741141412807,0.9360798638523062,0.05288471498268346,0.3260659459904302,0.8807102502017756,,,,4,0
19,0.15229843567731374,0.15229843567731377,0.9452603459159887,0.932779243887603,0.9378504185091724,0.05378721754450674,0.3188409900428431,0.8821630347054076,,,,4,0
20,0.1472841261917959,0.1472841261917959,0.9469544144860431,0.9351267640789105,0.9395771842397721,0.05458122058667842,0.31292887651553203,0.8857142857142857,,,,4,0
21,0.14340397966312962,0.14340397966312962,0.9483811411840134,0.9371607606533328,0.9419085988005804,0.05576603115614291,0.30909521078775076,0.8873284907183212,,,,4,0
22,0.1377017340862283,0.13770173408622832,0.9508817418978562,0.9407037516806765,0.9447198709464607,0.05288213683471261,0.30017976570713595,0.8916868442292171,,,,4,0
23,0.13382534838131932,0.13382534838131932,0.9525883395695272,0.9424358275220616,0.9473147665755828,0.05294007299737581,0.29472637807986457,0.8933010492332526,,,,4,0
24,0.13054395223864754,0.13054395223864754,0.9538716192948207,0.9435517766170595,0.9488455761306731,0.051333952271275136,0.2891531275469536,0.8952380952380953,,,,4,0
25,0.12796743294195526,0.12796743294195526,0.9539850545862069,0.9435997577919318,0.9489549300946816,0.050113623890555986,0.2854890241686035,0.8962066182405165,,,,4,0
26,0.12552483472048923,0.12552483472048925,0.9545223164783464,0.9439745235068085,0.9498895892161695,0.04737561357574278,0.28141377693902075,0.8981436642453592,,,,4,0
27,0.12413031477904546,0.12413031477904546,0.9551574771680852,0.9440629447618676,0.9500545527876616,0.04541921831551516,0.2796310862086193,0.8995964487489911,,,,4,0
28,0.1236140960925275,0.12361409609252748,0.9560725088315251,0.9448536196084587,0.9511966768043169,0.043548683699323305,0.2782456222451439,0.8997578692493947,,,,4,0
29,0.12265406520288183,0.12265406520288183,0.9560725088315248,0.9449479755614679,0.9511698843198403,0.042416794110610764,0.2769139461863682,0.9002421307506053,,,,4,0
30,0.12204799699326964,0.12204799699326967,0.9567961083132707,0.9461929203609051,0.9522745514843489,0.04203100176522921,0.276361431814189,0.9007263922518159,,,,4,0
31,0.12096141909903232,0.12096141909903231,0.9594076455807052,0.9494867664017635,0.9548485934227522,0.04164019423793641,0.2752972802974109,0.902502017756255,,,,4,0
32,0.11832088799168432,0.11832088799168432,0.959158277236348,0.9487535321904691,0.9543574005521303,0.04013999488351646,0.27244213283476526,0.9029862792574657,,,,4,0
33,0.11690338149720911,0.11690338149720914,0.9605350109355594,0.9503057028525611,0.9559017037777106,0.03969125119356045,0.2710512859988289,0.9042776432606942,,,,4,0
34,0.11488788562624799,0.11488788562624799,0.9614375134973826,0.9505732685055821,0.9564324072016062,0.038650316840971734,0.2687518420293769,0.9065375302663439,,,,4,0
35,0.11194348680753433,0.11194348680753433,0.9633809504117945,0.9527655768317499,0.9585348075887338,0.03842594499599373,0.26508181106965895,0.9097659402744148,,,,4,0
36,0.11182389963025162,0.11182389963025162,0.9641220324732144,0.9533995769166151,0.959865285681507,0.037815780805634164,0.2653501376631625,0.9099273607748184,,,,4,0
37,0.10838284251798232,0.10838284251798232,0.9640335936812078,0.9526259206239653,0.959389219242626,0.03797720130603772,0.26176145555487407,0.911864406779661,,,,4,0
38,0.10733627436526043,0.10733627436526043,0.9644873525530752,0.9530875918584611,0.9598113322845331,0.03865031684097174,0.2608844824793111,0.911864406779661,,,,4,0
39,0.10599419840055735,0.10599419840055735,0.9649740510882261,0.9532274119344836,0.9599104948363512,0.03910909089475025,0.25955442675587415,0.9125100887812753,,,,4,0
