round,exp_train_loss,exp_train_acc,n_clients_used,n_failures
1,1.2178393005146477,0.687134384959858,4,0
2,0.7718555509656946,0.7784725864364385,4,0
3,0.6514316473358958,0.8118368499616735,4,0
4,0.5934404724652873,0.831847339331101,4,0
5,0.5501159528526537,0.8496792673578892,4,0
6,0.5131835016467926,0.8631944164279662,4,0
7,0.48179311889169313,0.8743696292411345,4,0
8,0.4550897303278677,0.8833662807116633,4,0
9,0.4320390005580389,0.8901440271109856,4,0
10,0.41182515616147514,0.897244523338847,4,0
11,0.39391282884792644,0.9030136765239843,4,0
12,0.3778279953114603,0.9087424859805543,4,0
13,0.3629747304005684,0.9131399523944003,4,0
14,0.3494318239234546,0.9165691693226288,4,0
15,0.33687182954532185,0.9196756364223182,4,0
16,0.32555980309898125,0.9229031347077097,4,0
17,0.3148788621541462,0.9264937265502078,4,0
18,0.30479802740800543,0.9293177875499253,4,0
19,0.29509486112366834,0.9324242546496148,4,0
20,0.286074796420936,0.9351676281921976,4,0
21,0.2775108400154706,0.9371444708919998,4,0
22,0.2693102420845929,0.9398071569774479,4,0
23,0.2617421364584923,0.9417033122201154,4,0
24,0.2545702123835123,0.9436801549199177,4,0
25,0.24775618407713734,0.9450921854197765,4,0
26,0.2411352812210758,0.9469479969338767,4,0
27,0.2348645615618036,0.9481583087908985,4,0
28,0.22874729207003708,0.9494896518336224,4,0
29,0.222862959985976,0.9517489006333966,4,0
30,0.21701966429461164,0.953120587404688,4,0
31,0.211434038743625,0.9545729616331141,4,0
32,0.2060737354595154,0.9561463670472425,4,0
33,0.20074012136059693,0.9579214911042079,4,0
34,0.19546916805085693,0.9592528341469319,4,0
35,0.19051057113705833,0.960906927018195,4,0
36,0.1853435488897402,0.9618751765038125,4,0
37,0.18042892910253497,0.9629241134465647,4,0
38,0.17572791384279882,0.9638116754750474,4,0
39,0.17081808075657479,0.9653850808891757,4,0
40,0.16616994299249438,0.9665550490176302,4,0
41,0.1615674258722449,0.9683301730745956,4,0
42,0.15727495935901428,0.9696211723887521,4,0
43,0.15300342495709762,0.970629765602937,4,0
44,0.14842976886974,0.9720821398313633,4,0
45,0.1441821367029548,0.9729293581312785,4,0
46,0.13994242381928967,0.9738976076168959,4,0
47,0.13599794003415877,0.9749062008310808,4,0
48,0.13257136396643215,0.9759954815024005,4,0
49,0.12875271863158858,0.9772057933594223,4,0
50,0.1256505243009641,0.9784564489450115,4,0
51,0.12234520355289333,0.9795457296163311,4,0
52,0.1184015208430884,0.980554322830516,4,0
53,0.11501635086763289,0.9815225723161335,4,0
54,0.11178569804584575,0.9822084157017792,4,0
55,0.10907455457881088,0.9830152902731271,4,0
56,0.10518311695721945,0.9837818211159075,4,0
57,0.103499459439855,0.9845080082301206,4,0
58,0.10082752154455087,0.9850728204300642,4,0
59,0.09926733993817884,0.9856376326300077,4,0
60,0.09538445702567261,0.9867269133013273,4,0
